date,store_name,store_id,total_signals,unique_visits,device_id,lat,lon,addidas,apple,bmw,employed,female,h_&_m,high_income,honda,job_seeking,low_income,male,mercedes-benz,middle_income,retired,student,tommy_helfinger
2021-01-02,Rewe,place_182,1,1,22727,52.607162,13.428833,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-02,Rewe,place_189,1,1,48666,52.5272974,13.4812046,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
2021-01-02,Rewe,place_191,6,4,91019,210.51737710000003,54.11566069999999,0,0,0,0,0,1,0,0,1,0,4,0,4,0,0,0
2021-01-02,Rewe,place_192,3,2,40161,105.0113727,26.9185412,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0
2021-01-02,Rewe,place_193,3,2,89726,104.7065479,26.8120938,0,0,0,0,0,0,0,1,0,1,2,1,1,0,1,0
2021-01-02,Rewe,place_195,1,1,19229,52.5842329,13.4297616,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2021-01-02,Rewe,place_198,5,2,105381,105.04803809999999,26.739331399999998,0,0,0,1,0,0,0,0,1,0,2,0,2,0,0,0
2021-01-02,Rewe,place_199,4,3,75794,157.26606400000003,40.3465816,0,0,1,0,0,0,2,0,0,0,3,1,1,0,1,0
2021-01-02,Rewe,place_200,2,2,77240,104.7932412,26.560944399999997,0,1,1,0,0,0,0,1,0,2,2,0,0,0,0,0
2021-01-02,Rewe,place_203,1,1,31411,52.412996,13.493269,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-02,Rewe,place_204,1,1,45373,52.58312900000001,13.291409,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-02,Rewe,place_205,5,5,126511,262.5593816,68.0692021,0,0,0,1,0,0,0,0,0,1,5,0,4,0,0,0
2021-01-02,Rewe,place_207,1,1,18261,52.5059316,13.4474242,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-02,Rewe,place_209,2,2,63820,104.78938600000001,26.881909,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0
2021-01-02,Rewe,place_210,6,2,102956,104.8261579,26.448334199999998,0,0,1,0,0,0,1,0,0,0,2,0,1,0,0,0
2021-01-03,Aldi,place_79,1,1,35578,52.43913000000001,13.27111,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
2021-01-03,Aldi,place_98,1,1,29190,52.45625,13.337979999999998,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2021-01-03,Burger King,place_40,1,1,66342,52.548901,13.593892000000002,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0
2021-01-03,Burger King,place_41,1,1,29214,52.60762800000001,13.324699,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2021-01-03,McDonald's,place_10,1,1,31613,52.688042,13.565788,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-03,Rewe,place_210,11,1,61577,52.4130175,13.2241815,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-04,Aldi,place_101,1,1,7506,52.5268997,13.4583304,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-04,Aldi,place_102,1,1,14866,52.39100000000001,13.29134,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-04,Aldi,place_108,1,1,77365,52.3583665,13.4346954,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1
2021-01-04,Aldi,place_114,1,1,39161,52.6269226,13.2257093,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-04,Aldi,place_124,1,1,49253,52.64058000000001,13.51449,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-04,Aldi,place_130,1,1,30488,52.57086999999999,13.32799,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
2021-01-04,Aldi,place_135,6,2,93284,105.13323,27.1563,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0
2021-01-04,Aldi,place_54,1,1,49753,52.681,13.55671,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-04,Aldi,place_58,2,2,77508,105.04510990000001,26.9684749,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0
2021-01-04,Aldi,place_62,1,1,9798,52.57528000000001,13.51958,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
2021-01-04,Aldi,place_64,1,1,6209,52.5413139,13.4374292,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
2021-01-04,Aldi,place_67,1,1,65232,52.3861448,13.4018199,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-04,Aldi,place_69,1,1,7655,52.465546,13.422315,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
2021-01-04,Aldi,place_70,1,1,18321,52.59709029999999,13.4650021,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-04,Aldi,place_75,1,1,31492,52.405613,13.523727,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-04,Aldi,place_79,1,1,35578,52.43914,13.27109,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
2021-01-04,Aldi,place_85,1,1,42323,52.52513,13.53504,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
2021-01-04,Aldi,place_87,1,1,25419,52.4518697,13.3620884,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2021-01-04,Aldi,place_93,1,1,57675,52.5176063,13.178119,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2021-01-04,Aldi,place_96,1,1,17618,52.40897800000001,13.441131,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-04,Aldi,place_98,2,2,100674,104.91226,26.675440000000002,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
2021-01-04,Aldi,place_99,1,1,5811,52.4190077,13.4221565,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-04,Burger King,place_35,1,1,76740,52.4524544,13.5148574,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2021-01-04,Burger King,place_38,1,1,8704,52.5473179,13.3106946,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2021-01-04,Kaufland,place_213,8,6,272765,315.4059107,79.9714804,0,0,0,0,0,0,1,1,0,1,6,1,4,0,1,0
2021-01-04,Kaufland,place_214,5,4,8733,210.2567237,53.7796405,0,0,0,0,0,0,0,2,0,0,4,1,4,0,0,0
2021-01-04,Kaufland,place_215,12,10,423069,525.3795576,132.1891743,0,2,1,0,0,0,2,1,1,2,10,1,6,2,0,0
2021-01-04,Kaufland,place_216,1,1,376,52.46767,13.37738,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-04,Kaufland,place_217,1,1,43739,52.5589176,13.3740683,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2021-01-04,Kaufland,place_218,1,1,36822,52.39651,13.24063,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-04,Kaufland,place_219,3,3,104658,157.8104419,40.005386,0,1,0,0,0,0,1,0,0,0,3,0,2,0,0,0
2021-01-04,Kaufland,place_220,7,5,115492,262.1158013,66.5618709,2,0,0,0,0,1,1,0,0,1,5,0,3,0,1,0
2021-01-04,Kaufland,place_221,3,2,65453,104.8729721,26.8959599,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1
2021-01-04,Kaufland,place_223,6,4,101127,210.193177,54.02002139999999,0,0,1,1,0,0,1,0,0,0,4,0,3,0,0,0
2021-01-04,Kaufland,place_224,3,3,93764,157.5638882,39.5582014,0,0,0,0,0,0,1,2,0,0,3,0,2,0,0,0
2021-01-04,Kaufland,place_225,6,3,94820,157.3846588,40.1027893,0,0,0,0,0,0,1,0,0,0,3,0,2,0,0,0
2021-01-04,Kaufland,place_226,1,1,43709,52.53404000000001,13.45672,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2021-01-04,Kaufland,place_227,1,1,18326,52.529223,13.2140771,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-04,Lexus,place_245,3,2,50233,105.0532906,27.041275199999998,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0
2021-01-04,McDonald's,place_1,1,1,10913,52.47084270000001,13.461256900000002,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-04,McDonald's,place_27,1,1,20886,52.50376,13.4695876,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-04,McDonald's,place_28,1,1,81760,52.520304,13.38625,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2021-01-04,McDonald's,place_33,1,1,52827,52.52566899999999,13.368564,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-04,McDonald's,place_4,2,2,65074,105.1211458,26.727404200000002,0,2,0,0,0,0,0,0,1,0,2,0,2,0,1,0
2021-01-04,McDonald's,place_6,1,1,35466,52.3949812,13.2378096,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
2021-01-04,Rewe,place_138,3,3,98598,158.0309052,40.632948999999996,0,0,0,0,0,0,0,0,0,2,3,0,1,0,0,0
2021-01-04,Rewe,place_141,1,1,32207,52.61505,13.24377,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-04,Rewe,place_146,1,1,42619,52.5501259,13.5783604,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2021-01-04,Rewe,place_151,1,1,20436,52.4648799,13.395052800000002,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
2021-01-04,Rewe,place_153,1,1,6211,52.543797700000006,13.4906769,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
2021-01-04,Rewe,place_154,1,1,5418,52.425256,13.584806,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
2021-01-04,Rewe,place_157,1,1,52199,52.550785,13.432371,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
2021-01-04,Rewe,place_159,3,3,137465,157.7155749,40.0958406,0,0,0,0,0,0,0,1,0,0,3,0,3,0,0,0
2021-01-04,Rewe,place_160,2,2,141211,105.177533,26.677834,0,0,1,0,0,0,0,0,0,1,2,1,1,0,1,0
2021-01-04,Rewe,place_161,4,1,37002,52.45069599999999,13.508475,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
2021-01-04,Rewe,place_162,1,1,61715,52.43994,13.49927,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2021-01-04,Rewe,place_164,1,1,5047,52.566295,13.395595000000002,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
2021-01-04,Rewe,place_172,3,1,11116,52.4114871,13.2624615,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-04,Rewe,place_173,1,1,36625,52.412764,13.354856,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2021-01-04,Rewe,place_176,1,1,37415,52.487364,13.2613468,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
2021-01-04,Rewe,place_179,5,3,86000,157.5846267,40.7066283,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,1
2021-01-04,Rewe,place_182,1,1,25342,52.607062,13.429222400000002,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-04,Rewe,place_183,2,2,14106,104.9029693,27.059471000000002,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0
2021-01-04,Rewe,place_187,2,2,55901,104.84146799999999,26.7195177,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0
2021-01-04,Rewe,place_189,2,1,23689,52.5274186,13.4812125,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2021-01-04,Rewe,place_191,2,1,26313,52.62951,13.52891,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-04,Rewe,place_193,7,3,76863,157.0597116,40.2182472,0,0,1,0,0,0,0,1,0,2,3,0,1,0,0,0
2021-01-04,Rewe,place_199,1,1,45575,52.42191920000001,13.4488434,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2021-01-04,Rewe,place_200,1,1,4670,52.3967,13.28064,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
2021-01-04,Rewe,place_201,3,1,15700,52.61769150000001,13.3084803,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2021-01-04,Rewe,place_204,2,1,36662,52.58301779999999,13.291337699999998,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-04,Rewe,place_205,5,5,57693,262.5593531,68.0691406,0,0,0,0,0,0,0,1,0,1,5,0,4,1,1,0
2021-01-04,Rewe,place_210,5,3,93630,157.2393447,39.671928199999996,0,0,1,0,0,1,2,0,0,0,3,0,1,0,0,0
2021-01-04,Rewe,place_211,2,2,34011,105.05894,27.18825,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0
2021-01-04,Rewe,place_212,1,1,19297,52.5187802,13.497005499999998,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
2021-01-04,Subway,place_53,1,1,81913,52.5342668,13.1980986,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Aldi,place_101,1,1,60640,52.52674,13.45832,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
2021-01-05,Aldi,place_108,1,1,65232,52.358552,13.434316399999998,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Aldi,place_113,1,1,26401,52.408178,13.268441,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Aldi,place_116,1,1,23856,52.5365212,13.635527599999998,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
2021-01-05,Aldi,place_119,2,2,56442,104.8031331,26.8253197,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0
2021-01-05,Aldi,place_132,2,1,55548,52.6051264,13.339567,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Aldi,place_135,2,2,100630,105.1332058,27.156524,1,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0
2021-01-05,Aldi,place_136,2,1,34791,52.4585178,13.3271735,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Aldi,place_70,1,1,46790,52.597166,13.465054,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2021-01-05,Aldi,place_79,1,1,35578,52.43913000000001,13.271120000000002,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
