device_id,lat,lon,date,store_id,store_name
46137,52.49815,13.521629999999998,2021-01-18,place_148,Rewe
46137,52.49821,13.52148,2021-01-18,place_148,Rewe
44866,52.498178,13.521638,2021-01-02,place_148,Rewe
44866,52.498177,13.521662,2021-01-02,place_148,Rewe
49501,52.4984339,13.5216895,2021-01-05,place_148,Rewe
23491,52.4982571,13.521966699999998,2021-01-05,place_148,Rewe
7968,52.49825799999999,13.5219751,2021-01-05,place_148,Rewe
7968,52.4982634,13.5219701,2021-01-05,place_148,Rewe
7968,52.49842760000001,13.5218247,2021-01-09,place_148,Rewe
40623,52.4981986,13.5221918,2021-01-06,place_148,Rewe
29215,52.4981167,13.5217566,2021-01-08,place_148,Rewe
47249,52.4982906,13.5219676,2021-01-09,place_148,Rewe
44981,52.498251,13.521614800000002,2021-01-09,place_148,Rewe
37202,52.49853470000001,13.5217611,2021-01-11,place_148,Rewe
19465,52.498282,13.521904,2021-01-11,place_148,Rewe
69547,52.498335,13.521987,2021-01-11,place_148,Rewe
69547,52.498335,13.521987,2021-01-11,place_148,Rewe
50736,52.498294,13.521971,2021-01-12,place_148,Rewe
35933,52.498041,13.5215277,2021-01-13,place_148,Rewe
15270,52.49811,13.521629999999998,2021-01-14,place_148,Rewe
49024,52.49848000000001,13.52192,2021-01-14,place_148,Rewe
13267,52.498158,13.521524,2021-01-14,place_148,Rewe
70296,52.49822220000001,13.5219206,2021-01-15,place_148,Rewe
74312,52.49818000000001,13.5221,2021-01-19,place_148,Rewe
7558,52.4984119,13.521227599999998,2021-01-19,place_148,Rewe
45389,52.49841,13.521870000000002,2021-01-19,place_148,Rewe
4122,52.49815699999999,13.521708,2021-01-20,place_148,Rewe
16958,52.509715,13.435199,2021-01-08,place_196,Rewe
16958,52.509651,13.435338,2021-01-08,place_196,Rewe
16958,52.50970600000001,13.435204,2021-01-08,place_196,Rewe
16958,52.525767,13.368367999999998,2021-01-05,place_33,McDonald's
83878,52.5097179,13.4352271,2021-01-11,place_196,Rewe
